,PLAYER_NAME,TEAM,FG%,FG3%,OREB,DREB,AST,STL,BLK,PF,PTS,PLUS_MINUS,AST%,AST_TO,OREB%,DREB%,TM_TOV%,TS%,USG%,PIE,PLAYER_POSITION,LT6FT_FREQ,LT6FT_DFGM,LT6FT_%DIFF,3PT_FREQ,3PT_DFGM,3PT_%DIFF,BT6_9FT_DFGM,BT6_9FT_%DIFF,BT6_9FT_FREQ,BT10_15FT_DFGM,BT10_15FT_%DIFF,BT10_15FT_FREQ,BT16FT_3PT_DFGM,BT16FT_3PT_%DIFF,BT16FT_3PT_FREQ,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LT_5FT_FGM,LT_5FT_FG%,BT5_9FT_FGM,BT5_9FT_FG%,BT10_14FT_FGM,BT10_14FT_FG%,BT15_19FT_FGM,BT15_19FT_FG%,BT20_24FT_FGM,BT20_24FT_FG%,BT25_29FT_FGM,BT25_29FT_FG%,ISO_PPP,ISO_FG%,ISO_POSS,PNR_HANDLER_PPP,PNR_HANDLER_FG%,PNR_HANDLER_POSS,PNR_ROLLMAN_PPP,PNR_ROLLMAN_FG%,PNR_ROLLMAN_POSS,TRANSITION_PPP,TRANSITION_FG%,TRANSITION_POSS,POST_UP_PPP,POST_UP_FG%,POST_UP_POSS,SPOT_UP_PPP,SPOT_UP_FG%,SPOT_UP_POSS,HANDOFF_PPP,HANDOFF_FG%,HANDOFF_POSS,CUT_PPP,CUT_FG%,CUT_POSS,OFF_SCREEN_PPP,OFF_SCREEN_FG%,OFF_SCREEN_POSS,PUTBACK_PPP,PUTBACK_FG%,PUTBACK_POSS,PASSES_MADE,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS%
222,Keldon Johnson,SAS,0.479,0.331,1.3,4.6,1.8,0.6,0.3,2.1,12.8,-2.5,0.087,1.55,0.045,0.163,7.9,0.557,0.189,0.091,F-G,0.427,3.06,-0.007,0.329,1.36,-0.009,0.33000000000000007,-0.18999999999999995,0.081,0.5499999999999996,0.125,0.083,0.3799999999999999,0.024999999999999967,0.08,3.36,2.7,1.04,0.0,0.46,0.39,0.3,3.2,0.584,0.4,0.337,0.2,0.44,0.2,0.545,0.3,0.282,0.6,0.374,0.727,0.368,0.3,0.862,0.413,1.9,0.813,0.429,0.2,1.171,0.571,2.0,0.0,0.0,0.0,0.977,0.432,5.1,1.111,0.514,0.8,1.321,0.659,0.8,0.857,0.462,0.3,1.169,0.588,0.9,27.4,0.2,2.9,0.064
223,Kelly Olynyk,HOU,0.484,0.342,1.2,5.7,2.9,1.1,0.6,3.0,13.5,-1.4,0.151,1.61,0.043,0.196,11.5,0.61,0.19,0.112,F-C,0.394,3.7,0.004,0.344,2.19,0.06,0.6099999999999994,-0.13299999999999995,0.099,0.3800000000000008,-0.09999999999999998,0.067,0.6499999999999999,0.069,0.095,4.97,3.37,2.16,0.23,1.41,0.4,0.43,2.6,0.733,0.2,0.333,0.1,0.3,0.1,0.455,0.6,0.383,1.2,0.328,0.571,0.111,0.5,0.944,0.444,0.7,1.197,0.521,2.3,1.214,0.517,2.6,1.164,0.667,2.3,1.284,0.543,3.3,0.533,0.25,0.6,1.321,0.762,1.0,0.0,0.0,0.0,1.323,0.607,1.1,41.2,0.1,5.2,0.07
224,Kelly Oubre Jr.,GSW,0.439,0.316,1.5,4.5,1.3,1.0,0.8,2.2,15.4,-3.5,0.067,1.04,0.046,0.135,7.4,0.529,0.215,0.09,F-G,0.443,2.83,-0.083,0.349,1.46,-0.021,0.4299999999999997,-0.040999999999999925,0.073,0.24999999999999978,-0.13899999999999985,0.067,0.3400000000000001,0.023999999999999966,0.068,3.04,2.42,2.73,0.05,0.27,0.35,0.24,3.1,0.617,0.6,0.341,0.3,0.463,0.1,0.28,0.9,0.355,0.8,0.276,0.6,0.263,0.5,0.846,0.386,1.4,0.0,0.0,0.0,1.141,0.539,3.0,1.231,0.583,0.2,0.946,0.366,4.7,0.65,0.286,1.1,1.35,0.667,1.9,0.8,0.352,1.0,1.015,0.483,1.2,22.3,0.3,2.6,0.06
225,Kemba Walker,OKC,0.42,0.36,0.4,3.6,4.9,1.1,0.3,1.4,19.3,2.2,0.233,2.41,0.012,0.113,8.5,0.559,0.256,0.123,G,0.358,3.19,0.039,0.384,2.0,0.011,0.6200000000000001,-0.02499999999999991,0.087,0.6499999999999999,0.051999999999999935,0.101,0.41999999999999993,0.062,0.069,1.95,2.84,2.14,0.51,0.42,0.28,0.4,2.0,0.617,0.4,0.327,0.6,0.471,0.5,0.377,0.7,0.354,2.4,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.3,0.4,8.5,0.096
226,Kendrick Nunn,MIA,0.485,0.381,0.4,2.8,2.6,0.9,0.3,1.9,14.6,-0.1,0.14,1.85,0.013,0.096,8.8,0.596,0.205,0.095,G,0.353,2.54,0.001,0.4,1.83,0.015,0.3700000000000001,-0.16199999999999992,0.087,0.4599999999999995,0.007999999999999952,0.09,0.3900000000000001,0.08799999999999997,0.069,1.75,3.05,1.64,0.0,0.41,0.36,0.3,2.3,0.675,0.3,0.436,0.4,0.444,0.5,0.509,0.5,0.33,1.7,0.401,0.903,0.48,0.6,0.832,0.435,3.7,0.0,0.0,0.0,1.221,0.582,2.3,0.0,0.0,0.0,1.216,0.449,3.7,1.077,0.479,1.4,1.361,0.688,0.6,0.935,0.367,0.6,1.1,0.714,0.2,29.9,0.4,5.6,0.088
227,Kenrich Williams,OKC,0.533,0.444,1.3,2.9,2.3,0.8,0.3,2.2,8.0,-2.7,0.153,2.0,0.056,0.129,11.4,0.599,0.148,0.09,G-F,0.316,1.79,0.054,0.379,1.19,0.001,0.33999999999999986,-0.10799999999999993,0.095,0.25,-0.11500000000000016,0.093,0.3500000000000001,-0.03400000000000003,0.117,2.3,2.11,1.77,0.11,0.24,0.38,0.27,1.7,0.657,0.4,0.5,0.2,0.471,0.2,0.344,0.5,0.493,0.3,0.404,1.286,0.708,0.4,0.933,0.563,0.7,0.0,0.0,0.0,1.194,0.575,1.4,0.88,0.5,0.4,0.929,0.423,2.5,0.6,0.316,0.4,1.42,0.762,0.8,1.182,0.75,0.2,1.051,0.588,0.6,23.0,0.3,4.7,0.1
228,Kent Bazemore,GSW,0.449,0.408,0.4,3.0,1.6,1.0,0.5,2.4,7.2,2.5,0.108,1.32,0.019,0.14,13.3,0.564,0.159,0.075,G-F,0.418,1.92,-0.097,0.345,1.08,-0.013,0.25,-0.21599999999999991,0.09,0.28000000000000025,0.05999999999999994,0.062,0.2999999999999998,0.008000000000000007,0.085,2.36,1.75,2.13,0.07,0.43,0.36,0.28,1.1,0.623,0.2,0.417,0.1,0.263,0.1,0.259,0.7,0.387,0.4,0.441,0.5,0.286,0.1,0.814,0.433,0.6,0.0,0.0,0.0,1.106,0.529,1.7,0.647,0.385,0.3,1.082,0.416,2.7,0.586,0.316,0.4,1.051,0.654,0.6,0.778,0.353,0.3,1.125,0.533,0.2,23.2,0.3,3.0,0.069
229,Kentavious Caldwell-Pope,LAL,0.431,0.41,0.4,2.3,1.9,0.9,0.4,1.7,9.7,2.1,0.091,1.92,0.015,0.081,8.9,0.588,0.139,0.07,G,0.359,2.03,0.018,0.344,1.21,0.012,0.4200000000000004,-0.040999999999999925,0.095,0.3199999999999994,-0.08700000000000019,0.102,0.33000000000000007,-0.03600000000000003,0.101,1.3,1.39,1.7,0.01,0.3,0.24,0.3,1.0,0.566,0.1,0.368,0.0,0.2,0.3,0.425,0.9,0.384,0.9,0.403,0.6,0.25,0.1,0.676,0.3,0.6,0.182,0.143,0.2,1.201,0.52,2.4,0.0,0.0,0.0,1.096,0.419,3.4,0.763,0.326,0.9,1.276,0.625,0.4,1.25,0.489,0.8,0.0,0.0,0.0,28.3,0.3,3.3,0.067
230,Kenyon Martin Jr.,HOU,0.509,0.365,1.6,3.8,1.1,0.7,0.9,2.0,9.3,-6.3,0.068,1.26,0.063,0.159,8.6,0.59,0.154,0.09,F,0.417,1.58,-0.119,0.387,1.07,-0.003,0.30999999999999983,-0.09299999999999992,0.092,0.2200000000000002,0.07399999999999995,0.058,0.1499999999999999,0.04299999999999998,0.047,2.78,2.04,0.87,0.0,1.02,0.36,0.22,2.7,0.638,0.1,0.207,0.0,0.333,0.0,0.0,0.4,0.429,0.4,0.302,0.0,0.0,0.0,0.0,0.0,0.0,1.378,0.667,1.0,1.079,0.547,1.7,1.0,0.556,0.3,0.898,0.353,2.6,0.0,0.0,0.0,1.17,0.605,1.0,0.0,0.0,0.0,1.232,0.62,1.2,22.0,0.1,2.4,0.049
231,Kevin Durant,BKN,0.537,0.45,0.4,6.7,5.6,0.7,1.3,2.0,26.9,8.0,0.252,1.63,0.012,0.18,11.8,0.666,0.303,0.172,F,0.337,2.14,-0.087,0.38,1.43,-0.045,0.48999999999999977,-0.12799999999999995,0.098,0.5900000000000005,0.119,0.087,0.45999999999999996,0.010000000000000009,0.099,4.51,3.11,1.34,0.06,0.31,0.4,0.26,2.5,0.744,0.9,0.485,2.1,0.545,1.2,0.489,0.6,0.447,2.0,0.451,1.181,0.523,3.3,1.015,0.511,3.7,1.25,0.556,0.3,1.256,0.604,3.8,1.154,0.574,1.9,1.167,0.488,4.5,0.956,0.486,1.3,1.478,0.65,0.7,1.027,0.492,2.1,0.0,0.0,0.0,41.4,0.7,9.3,0.135
232,Kevin Huerter,ATL,0.432,0.363,0.6,2.8,3.5,1.2,0.3,2.4,11.9,1.0,0.161,3.05,0.017,0.09,7.3,0.541,0.167,0.077,G-F,0.368,2.57,0.001,0.351,1.29,-0.056,0.3700000000000001,-0.16500000000000015,0.09,0.4800000000000002,-0.031000000000000028,0.106,0.4099999999999999,0.02699999999999997,0.085,2.35,2.65,2.32,0.01,0.3,0.25,0.36,1.0,0.563,0.6,0.433,0.7,0.554,0.2,0.485,0.9,0.389,1.1,0.338,1.0,0.6,0.4,0.852,0.418,2.7,1.158,0.412,0.3,1.221,0.549,2.2,0.0,0.0,0.0,1.059,0.405,4.0,0.667,0.356,0.8,0.957,0.455,0.3,0.836,0.351,0.9,0.933,0.385,0.2,30.8,0.3,6.2,0.114
