,PLAYER_NAME,TEAM,FG%,FG3%,OREB,DREB,AST,STL,BLK,PF,PTS,PLUS_MINUS,AST%,AST_TO,OREB%,DREB%,TM_TOV%,TS%,USG%,PIE,PLAYER_POSITION,LT6FT_FREQ,LT6FT_DFGM,LT6FT_%DIFF,3PT_FREQ,3PT_DFGM,3PT_%DIFF,BT6_9FT_DFGM,BT6_9FT_%DIFF,BT6_9FT_FREQ,BT10_15FT_DFGM,BT10_15FT_%DIFF,BT10_15FT_FREQ,BT16FT_3PT_DFGM,BT16FT_3PT_%DIFF,BT16FT_3PT_FREQ,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LT_5FT_FGM,LT_5FT_FG%,BT5_9FT_FGM,BT5_9FT_FG%,BT10_14FT_FGM,BT10_14FT_FG%,BT15_19FT_FGM,BT15_19FT_FG%,BT20_24FT_FGM,BT20_24FT_FG%,BT25_29FT_FGM,BT25_29FT_FG%,ISO_PPP,ISO_FG%,ISO_POSS,PNR_HANDLER_PPP,PNR_HANDLER_FG%,PNR_HANDLER_POSS,PNR_ROLLMAN_PPP,PNR_ROLLMAN_FG%,PNR_ROLLMAN_POSS,TRANSITION_PPP,TRANSITION_FG%,TRANSITION_POSS,POST_UP_PPP,POST_UP_FG%,POST_UP_POSS,SPOT_UP_PPP,SPOT_UP_FG%,SPOT_UP_POSS,HANDOFF_PPP,HANDOFF_FG%,HANDOFF_POSS,CUT_PPP,CUT_FG%,CUT_POSS,OFF_SCREEN_PPP,OFF_SCREEN_FG%,OFF_SCREEN_POSS,PUTBACK_PPP,PUTBACK_FG%,PUTBACK_POSS,PASSES_MADE,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS%
0,Aaron Gordon,DEN,0.463,0.335,1.5,4.1,3.2,0.7,0.7,1.8,12.4,1.2,0.165,1.66,0.055,0.15,11.8,0.547,0.204,0.095,F,0.362,2.27,-0.011,0.38,1.45,0.005,0.2799999999999998,-0.23899999999999993,0.093,0.3400000000000005,-0.07199999999999984,0.089,0.31000000000000005,0.01100000000000001,0.076,2.46,1.32,1.02,0.0,0.52,0.42,0.22,2.2,0.631,0.4,0.447,0.5,0.455,0.3,0.361,0.5,0.348,0.7,0.33,0.0,0.0,0.0,0.667,0.333,0.6,0.941,0.538,0.7,1.128,0.516,1.6,0.926,0.526,1.1,0.9,0.348,2.0,1.063,0.5,0.6,1.295,0.643,1.8,0.0,0.0,0.0,1.182,0.647,0.9,32.9,0.6,5.7,0.098
1,Aaron Holiday,IND,0.39,0.368,0.2,1.1,1.9,0.7,0.2,1.4,7.2,0.0,0.139,1.86,0.012,0.06,9.9,0.503,0.189,0.057,G,0.371,1.58,-0.051,0.373,1.13,0.026,0.26,-0.14600000000000013,0.09,0.49,0.2609999999999999,0.091,0.18000000000000016,-0.07400000000000001,0.076,1.29,1.8,1.47,0.0,0.03,0.17,0.23,1.0,0.426,0.3,0.333,0.2,0.367,0.2,0.55,0.3,0.407,0.7,0.341,0.2,0.125,0.4,0.77,0.407,1.5,0.0,0.0,0.0,1.009,0.477,1.7,0.0,0.0,0.0,1.016,0.395,2.8,0.75,0.306,0.7,0.692,0.25,0.2,0.905,0.412,0.3,0.0,0.0,0.0,15.5,0.3,3.3,0.121
2,Aaron Nesmith,BOS,0.438,0.37,0.6,2.2,0.5,0.3,0.2,1.9,4.7,-0.2,0.047,1.0,0.041,0.146,9.7,0.573,0.133,0.06,G-F,0.358,1.34,0.006,0.367,0.76,-0.018,0.31999999999999984,-0.0689999999999999,0.118,0.13000000000000034,-0.16500000000000015,0.08,0.18999999999999995,0.027000000000000024,0.078,1.83,1.04,0.52,0.02,0.13,0.33,0.24,0.6,0.617,0.1,0.333,0.1,0.444,0.0,1.0,0.5,0.339,0.4,0.413,0.0,0.0,0.0,0.909,0.444,0.2,0.0,0.0,0.0,0.78,0.324,0.9,0.0,0.0,0.0,1.083,0.41,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.471,0.563,0.4,1.2,0.818,0.3,11.7,0.1,1.0,0.043
3,Abdel Nader,PHX,0.491,0.419,0.3,2.3,0.8,0.4,0.4,1.4,6.7,1.2,0.078,1.0,0.02,0.151,11.2,0.605,0.183,0.092,F,0.405,1.4,-0.016,0.339,0.65,-0.039,0.4500000000000002,0.2909999999999998,0.091,0.19999999999999984,-5.551115123125783e-17,0.074,0.19999999999999996,-0.014000000000000012,0.091,1.92,1.25,0.75,0.0,0.04,0.17,0.21,1.3,0.564,0.3,0.583,0.0,0.25,0.0,0.0,0.4,0.444,0.4,0.4,0.0,0.0,0.0,0.727,0.429,0.5,0.0,0.0,0.0,1.065,0.522,1.3,0.0,0.0,0.0,1.014,0.456,3.0,0.818,0.375,0.5,1.273,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,1.1,0.084
4,Al Horford,BOS,0.45,0.368,1.0,5.7,3.4,0.9,0.9,1.7,14.2,-3.6,0.206,3.24,0.034,0.195,5.9,0.538,0.221,0.131,C-F,0.322,3.15,0.015,0.209,1.26,0.029,0.6600000000000001,-0.13899999999999996,0.104,1.1199999999999997,0.0029999999999998916,0.152,1.4800000000000002,0.065,0.214,6.93,1.89,1.18,0.0,2.21,0.29,0.29,1.9,0.602,0.9,0.444,0.5,0.5,0.5,0.438,0.6,0.34,1.5,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.1,5.2,0.087
5,Al-Farouq Aminu,CHI,0.384,0.216,1.0,3.8,1.3,0.8,0.4,1.3,4.4,-2.3,0.101,1.11,0.05,0.2,17.0,0.469,0.138,0.075,F,0.338,1.17,-0.084,0.453,0.96,-0.046,0.21999999999999997,0.16800000000000004,0.048,0.13000000000000012,-0.12100000000000016,0.067,0.16999999999999993,-0.10599999999999998,0.095,1.87,2.13,1.43,0.0,0.74,0.26,0.35,0.8,0.487,0.2,0.417,0.0,0.0,0.2,0.8,0.3,0.467,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.2,3.0,0.057
6,Alec Burks,NYK,0.42,0.415,0.4,4.2,2.2,0.6,0.3,2.1,12.7,2.6,0.135,2.18,0.016,0.156,6.9,0.564,0.208,0.115,G,0.32,1.43,-0.099,0.425,1.12,-0.069,0.33000000000000007,-0.11400000000000016,0.091,0.14000000000000012,-0.1489999999999999,0.056,0.3699999999999999,0.007000000000000006,0.107,2.27,2.57,1.43,0.0,0.06,0.31,0.31,1.0,0.486,0.2,0.324,0.4,0.377,0.4,0.422,1.1,0.424,1.1,0.41,1.313,0.467,0.7,0.967,0.393,4.3,0.0,0.0,0.0,0.83,0.372,1.1,0.0,0.0,0.0,1.088,0.404,3.7,1.246,0.56,1.2,1.5,0.727,0.2,0.579,0.188,0.4,0.0,0.0,0.0,25.3,0.3,3.3,0.086
7,Aleksej Pokusevski,OKC,0.341,0.28,0.7,4.0,2.2,0.4,0.9,1.3,8.2,-8.7,0.133,0.98,0.025,0.155,15.9,0.43,0.197,0.058,C,0.443,3.0,-0.016,0.359,1.61,0.032,0.2999999999999998,-0.1459999999999999,0.069,0.27000000000000046,0.0019999999999999463,0.054,0.47999999999999976,0.19299999999999995,0.074,3.8,2.89,0.8,0.0,0.51,0.11,0.11,0.8,0.5,0.3,0.325,0.3,0.389,0.3,0.333,0.5,0.312,0.8,0.258,0.607,0.318,0.6,0.581,0.377,2.8,0.615,0.25,0.3,0.831,0.436,1.6,0.0,0.0,0.0,0.75,0.301,4.0,0.605,0.321,0.8,0.0,0.0,0.0,1.158,0.429,0.4,0.652,0.318,0.5,29.1,0.4,3.9,0.074
8,Alex Caruso,LAL,0.436,0.401,0.5,2.4,2.8,1.1,0.3,1.9,6.4,2.1,0.19,2.11,0.025,0.114,13.2,0.547,0.144,0.084,G,0.361,1.52,-0.044,0.352,1.0,0.005,0.31000000000000005,-0.12100000000000011,0.101,0.24999999999999978,-0.062000000000000055,0.089,0.28,-0.013000000000000012,0.097,1.47,1.67,2.22,0.26,0.29,0.24,0.41,0.9,0.587,0.2,0.37,0.2,0.36,0.1,0.263,0.5,0.366,0.4,0.431,0.412,0.091,0.3,0.66,0.347,1.6,0.0,0.0,0.0,1.053,0.538,1.3,0.0,0.0,0.0,1.112,0.414,2.2,0.429,0.375,0.2,1.139,0.75,0.6,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.4,5.5,0.078
9,Alex Len,WAS,0.615,0.32,1.2,2.8,0.8,0.3,1.0,2.0,6.6,-1.5,0.069,0.89,0.077,0.174,12.6,0.643,0.161,0.097,C,0.45,2.3,-0.07,0.182,0.49,-0.057,0.29000000000000004,-0.24099999999999994,0.102,0.45999999999999996,-0.11399999999999993,0.12,0.76,0.19899999999999995,0.146,6.23,0.94,0.91,0.0,2.05,0.17,0.11,2.2,0.749,0.3,0.392,0.0,0.231,0.0,0.0,0.1,0.333,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,1.258,0.667,1.2,1.393,0.696,1.0,1.067,0.667,0.3,0.895,0.375,0.3,0.0,0.0,0.0,1.113,0.598,2.3,0.0,0.0,0.0,1.132,0.596,0.9,15.8,0.1,1.4,0.049
10,Andre Drummond,LAL,0.493,0.0,3.6,8.4,2.0,1.4,1.1,3.2,14.9,-2.3,0.124,0.76,0.132,0.336,14.1,0.519,0.269,0.139,C,0.441,3.65,-0.024,0.244,1.3,0.035,0.5699999999999998,-0.03799999999999992,0.081,0.71,-0.028000000000000025,0.107,0.7899999999999998,0.07400000000000001,0.127,6.65,2.17,2.83,0.09,2.83,0.63,0.43,5.0,0.533,1.1,0.436,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.083,0.5,0.6,0.0,0.0,0.0,0.921,0.517,1.8,1.222,0.625,0.9,0.824,0.444,2.4,0.722,0.357,0.9,0.0,0.0,0.0,1.262,0.68,2.9,0.0,0.0,0.0,0.955,0.5,2.1,34.8,0.3,3.4,0.059
11,Andre Iguodala,MIA,0.383,0.33,0.6,2.9,2.3,0.9,0.6,1.4,4.4,-1.3,0.153,2.12,0.03,0.134,14.1,0.519,0.109,0.072,G-F,0.315,1.62,0.01,0.467,1.25,-0.032,0.19999999999999996,-0.1979999999999999,0.073,0.31000000000000005,0.02799999999999997,0.084,0.15999999999999992,-0.05399999999999999,0.061,1.48,2.08,1.63,0.06,0.25,0.17,0.37,0.4,0.628,0.0,0.5,0.0,0.25,0.0,0.25,0.6,0.348,0.4,0.338,0.0,0.0,0.0,0.588,0.364,0.3,0.778,0.308,0.3,0.686,0.391,0.6,0.0,0.0,0.0,0.982,0.357,2.6,0.0,0.0,0.0,1.0,0.526,0.4,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.1,4.7,0.077
12,Andrew Wiggins,GSW,0.477,0.38,1.2,3.7,2.4,0.9,1.0,2.2,18.6,0.0,0.11,1.33,0.034,0.106,8.7,0.568,0.229,0.099,F,0.359,2.96,-0.061,0.386,2.13,0.002,0.5100000000000002,-0.1529999999999999,0.09,0.4199999999999995,-0.05300000000000016,0.073,0.5700000000000003,0.025999999999999968,0.092,4.75,4.18,1.39,0.0,0.42,0.55,0.42,3.0,0.66,0.7,0.46,0.6,0.4,0.6,0.398,0.9,0.371,1.3,0.388,1.037,0.478,1.9,0.948,0.451,4.0,0.0,0.0,0.0,1.174,0.595,2.8,0.947,0.468,1.1,0.975,0.372,4.0,1.011,0.43,1.2,1.358,0.714,1.1,0.786,0.362,0.8,1.038,0.575,0.7,28.5,0.6,4.8,0.083
13,Anfernee Simons,POR,0.419,0.426,0.2,2.0,1.4,0.3,0.1,1.5,7.8,0.7,0.117,2.07,0.012,0.109,7.7,0.589,0.18,0.079,G,0.373,1.47,0.033,0.401,1.02,0.048,0.26,0.04700000000000004,0.075,0.2100000000000002,-0.05500000000000016,0.096,0.17999999999999994,0.14700000000000002,0.055,1.27,1.61,0.61,0.03,0.14,0.11,0.14,0.3,0.457,0.1,0.3,0.0,0.231,0.2,0.526,0.8,0.515,1.2,0.387,0.86,0.333,0.8,0.988,0.389,2.6,0.0,0.0,0.0,0.921,0.447,1.0,0.0,0.0,0.0,1.489,0.516,2.0,0.947,0.375,0.3,0.0,0.0,0.0,0.846,0.273,0.2,0.0,0.0,0.0,20.3,0.1,2.8,0.069
14,Anthony Davis,LAL,0.491,0.26,1.7,6.2,3.1,1.3,1.6,1.7,21.8,3.2,0.154,1.49,0.054,0.198,8.3,0.556,0.287,0.153,F-C,0.385,3.31,-0.013,0.356,1.69,-0.019,0.3799999999999999,-0.17599999999999993,0.073,0.48,-0.09199999999999986,0.087,0.56,0.009000000000000008,0.1,6.11,3.86,2.47,0.06,1.47,0.36,0.53,3.8,0.718,1.4,0.57,1.5,0.444,0.9,0.34,0.4,0.326,0.4,0.203,0.787,0.364,2.6,0.634,0.379,1.1,1.114,0.558,3.2,1.26,0.655,2.1,0.988,0.511,4.8,0.8,0.32,2.9,0.0,0.0,0.0,1.717,0.86,1.5,0.867,0.379,0.8,1.267,0.645,1.3,38.3,0.5,5.5,0.08
15,Anthony Edwards,MIN,0.417,0.329,0.8,3.8,2.9,1.1,0.5,1.8,19.3,-3.2,0.142,1.32,0.023,0.121,9.4,0.523,0.264,0.094,G,0.371,2.54,-0.005,0.399,1.93,0.056,0.3500000000000001,-0.1419999999999999,0.08,0.29000000000000004,-0.06700000000000017,0.072,0.3800000000000001,0.04999999999999999,0.077,2.21,2.39,1.83,0.0,0.14,0.39,0.43,3.6,0.577,0.5,0.363,0.2,0.313,0.2,0.184,1.0,0.362,1.5,0.327,0.966,0.382,2.4,0.793,0.374,6.4,0.0,0.0,0.0,1.071,0.522,3.3,0.833,0.556,0.2,0.936,0.347,4.1,1.082,0.488,1.3,1.509,0.735,0.8,0.794,0.321,0.9,0.967,0.52,0.4,32.0,0.4,6.3,0.092
16,Anthony Lamb,HOU,0.39,0.324,1.1,1.8,1.0,0.3,0.2,1.4,5.5,-3.7,0.08,1.21,0.055,0.109,11.2,0.523,0.144,0.05,F,0.441,2.68,0.1,0.33,1.14,0.026,0.5,0.1080000000000001,0.091,0.3199999999999994,0.06099999999999994,0.075,0.13000000000000012,-0.15000000000000002,0.063,2.25,1.71,0.46,0.08,0.46,0.29,0.21,0.9,0.488,0.1,0.5,0.0,0.0,0.0,0.0,0.4,0.375,0.6,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.25,0.8,0.0,0.0,0.0,1.062,0.424,2.7,0.0,0.0,0.0,1.118,0.533,0.7,0.0,0.0,0.0,0.833,0.364,0.5,19.2,0.4,3.0,0.05
17,Armoni Brooks,HOU,0.406,0.382,0.5,2.9,1.5,0.6,0.3,1.7,11.2,-6.8,0.09,1.36,0.017,0.112,8.8,0.565,0.175,0.068,G,0.378,2.0,0.034,0.359,1.37,0.093,0.31999999999999984,-0.02399999999999991,0.077,0.4099999999999999,0.035999999999999865,0.108,0.15999999999999992,-0.131,0.077,1.75,1.35,1.3,0.0,0.15,0.1,0.2,0.8,0.556,0.1,0.667,0.1,0.2,0.0,0.0,0.9,0.45,2.0,0.358,0.0,0.0,0.0,0.643,0.3,1.4,0.0,0.0,0.0,1.026,0.429,1.9,0.0,0.0,0.0,1.024,0.366,4.3,1.154,0.476,1.3,0.0,0.0,0.0,1.45,0.526,1.0,0.0,0.0,0.0,25.2,0.6,3.6,0.06
18,Aron Baynes,TOR,0.441,0.262,1.6,3.5,0.9,0.3,0.4,2.2,6.1,-1.5,0.07,1.02,0.082,0.192,11.1,0.503,0.157,0.07,C-F,0.367,2.15,-0.049,0.228,0.98,0.063,0.5,-0.15499999999999992,0.129,0.4299999999999997,-0.1529999999999999,0.123,0.54,-0.04600000000000004,0.154,4.53,1.45,0.51,0.23,2.94,0.17,0.32,1.6,0.585,0.2,0.36,0.1,0.438,0.1,0.429,0.2,0.216,0.4,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.768,0.357,1.8,0.9,0.421,0.4,0.615,0.364,0.2,0.985,0.359,1.3,0.0,0.0,0.0,1.232,0.652,1.5,0.0,0.0,0.0,0.914,0.464,1.1,20.5,0.0,1.5,0.043
19,Austin Rivers,DEN,0.424,0.369,0.2,2.1,2.3,0.8,0.1,1.8,7.9,0.3,0.136,2.25,0.009,0.088,9.6,0.551,0.15,0.067,G,0.291,1.44,0.061,0.453,1.21,-0.025,0.1200000000000001,-0.27800000000000014,0.066,0.27000000000000024,-0.10599999999999993,0.12,0.19999999999999996,-0.014000000000000012,0.07,1.33,1.64,1.28,0.0,0.06,0.17,0.31,1.1,0.6,0.1,0.176,0.2,0.5,0.0,0.5,0.5,0.333,1.0,0.394,0.882,0.333,1.1,0.316,0.2,1.3,0.0,0.0,0.0,1.36,0.647,1.7,0.0,0.0,0.0,1.048,0.39,2.8,1.158,0.421,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.3,4.3,0.094
20,Avery Bradley,HOU,0.374,0.327,0.3,1.8,1.7,0.8,0.1,2.0,6.4,-4.9,0.108,1.64,0.013,0.078,11.1,0.487,0.146,0.039,G,0.373,2.11,0.061,0.418,1.3,0.014,0.18999999999999995,0.020000000000000018,0.04,0.37000000000000055,0.04499999999999982,0.096,0.1399999999999999,-0.15600000000000003,0.072,0.93,1.74,1.44,0.07,0.26,0.26,0.22,0.9,0.714,0.0,0.111,0.0,0.2,0.1,0.154,0.8,0.368,0.5,0.275,0.0,0.0,0.0,0.333,0.167,1.9,0.0,0.0,0.0,0.909,0.4,0.6,0.0,0.0,0.0,0.971,0.333,2.0,0.333,0.167,0.9,1.154,0.636,0.8,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.3,3.6,0.08
21,Bam Adebayo,MIA,0.57,0.25,2.2,6.7,5.4,1.2,1.0,2.3,18.7,0.4,0.267,2.05,0.07,0.204,11.5,0.626,0.233,0.161,C-F,0.334,2.66,-0.046,0.361,1.73,-0.018,0.5699999999999998,-0.1509999999999999,0.104,0.5400000000000005,-0.0520000000000001,0.091,0.69,0.065,0.11,6.19,3.72,2.25,0.08,4.66,0.5,0.36,4.1,0.715,1.2,0.478,1.1,0.468,0.6,0.382,0.1,0.5,0.0,0.2,0.949,0.447,1.8,0.959,0.5,0.8,1.323,0.677,3.0,1.136,0.619,2.1,0.978,0.475,2.1,0.841,0.424,1.1,0.0,0.0,0.0,1.197,0.595,3.6,0.0,0.0,0.0,1.438,0.732,1.1,44.6,0.3,9.9,0.121
22,Ben McLemore,LAL,0.37,0.346,0.3,1.6,0.7,0.4,0.2,1.7,7.7,-1.9,0.064,0.93,0.015,0.091,9.1,0.523,0.192,0.053,G,0.407,1.55,0.037,0.375,0.77,-0.02,0.18999999999999995,-0.1419999999999999,0.084,0.11000000000000021,-0.07500000000000007,0.055,0.07999999999999996,-0.208,0.08,1.25,1.08,0.81,0.02,0.06,0.15,0.21,0.5,0.585,0.1,0.4,0.0,0.143,0.1,0.294,1.1,0.47,0.8,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.5,1.0,0.0,0.0,0.0,1.063,0.383,3.0,1.037,0.36,1.3,0.0,0.0,0.0,1.103,0.417,1.4,0.0,0.0,0.0,14.2,0.1,1.3,0.052
23,Ben Simmons,PHI,0.557,0.3,1.6,5.6,6.9,1.6,0.6,2.9,14.3,5.7,0.308,2.32,0.051,0.166,13.5,0.584,0.2,0.128,G-F,0.363,2.5,-0.031,0.357,1.26,-0.065,0.33999999999999986,-0.17599999999999993,0.081,0.3600000000000003,-0.12100000000000016,0.095,0.44999999999999996,-0.009000000000000008,0.103,2.57,2.09,3.48,0.05,1.62,0.59,0.5,4.4,0.633,0.9,0.4,0.2,0.297,0.1,0.8,0.0,0.2,0.0,0.5,1.0,0.636,0.9,0.725,0.473,2.6,0.87,0.471,0.4,1.0,0.616,4.3,0.96,0.506,1.7,0.849,0.436,0.9,0.0,0.0,0.0,1.102,0.581,1.9,0.0,0.0,0.0,1.2,0.605,0.8,64.1,0.6,12.7,0.108
24,Bismack Biyombo,CHA,0.587,0.0,2.1,3.2,1.2,0.3,1.1,2.1,5.0,-4.2,0.087,1.14,0.094,0.15,16.2,0.574,0.113,0.068,C,0.385,2.22,-0.083,0.331,1.45,0.047,0.3599999999999999,-0.15999999999999992,0.087,0.31999999999999984,-0.13200000000000006,0.089,0.49,0.03699999999999998,0.107,5.74,2.26,0.67,0.0,2.97,0.17,0.11,2.0,0.628,0.1,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081,0.633,0.9,1.152,0.618,0.7,0.438,0.333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.056,0.614,2.2,0.0,0.0,0.0,0.745,0.424,0.8,20.0,0.2,1.8,0.062
25,Blake Griffin,BKN,0.423,0.341,0.8,4.1,3.0,0.7,0.3,2.4,11.0,1.3,0.171,2.26,0.029,0.159,9.4,0.546,0.191,0.092,F,0.324,2.52,-0.005,0.377,1.72,0.013,0.5499999999999998,-0.07399999999999995,0.092,0.4800000000000004,-0.020000000000000018,0.083,0.5599999999999998,-0.008000000000000007,0.124,3.54,2.76,1.17,0.48,2.02,0.26,0.37,1.9,0.6,0.3,0.361,0.0,0.182,0.0,0.222,0.4,0.256,1.1,0.389,0.833,0.333,0.5,0.0,0.0,0.0,1.225,0.531,1.5,1.067,0.478,1.2,0.824,0.375,1.3,1.255,0.458,2.0,0.0,0.0,0.0,1.448,0.76,1.1,0.0,0.0,0.0,0.905,0.5,0.8,34.5,0.2,5.2,0.088
26,Bobby Portis,MIL,0.523,0.471,1.9,5.2,1.1,0.8,0.4,1.7,11.4,2.1,0.075,1.27,0.085,0.229,7.4,0.598,0.202,0.133,F,0.376,2.29,-0.078,0.279,1.11,-0.008,0.54,-0.007999999999999896,0.09,0.5500000000000003,-0.06,0.119,0.74,0.10599999999999998,0.136,4.79,2.3,1.58,0.03,1.52,0.35,0.29,1.9,0.638,0.5,0.427,0.7,0.537,0.4,0.379,0.6,0.477,0.7,0.489,0.938,0.483,0.5,0.0,0.0,0.0,1.123,0.505,1.7,1.396,0.605,1.4,0.971,0.505,1.6,1.121,0.45,2.1,0.0,0.0,0.0,1.23,0.651,1.1,0.0,0.0,0.0,1.059,0.554,1.3,23.7,0.2,2.0,0.045
27,Bogdan Bogdanovic,ATL,0.473,0.438,0.5,3.2,3.3,1.1,0.3,2.3,16.4,2.5,0.169,2.72,0.016,0.104,6.9,0.616,0.21,0.11,G,0.329,2.48,-0.016,0.393,1.89,0.013,0.33999999999999986,-0.2489999999999999,0.098,0.54,0.07199999999999995,0.084,0.5900000000000001,0.08699999999999997,0.098,3.55,3.27,2.11,0.0,0.41,0.18,0.23,1.1,0.593,0.4,0.439,0.6,0.448,0.5,0.571,1.6,0.476,1.8,0.418,0.813,0.385,0.7,1.013,0.485,3.5,1.333,0.5,0.3,1.179,0.477,2.2,0.0,0.0,0.0,1.273,0.45,4.0,1.222,0.522,0.6,0.0,0.0,0.0,1.167,0.483,2.2,1.364,0.667,0.3,31.0,0.5,6.5,0.108
28,Bojan Bogdanovic,UTA,0.439,0.39,0.6,3.3,1.9,0.6,0.1,1.6,17.0,5.8,0.091,1.06,0.018,0.099,9.8,0.588,0.225,0.094,F,0.346,1.88,-0.058,0.363,1.24,-0.009,0.5,-0.0769999999999999,0.112,0.3100000000000003,-0.0350000000000002,0.076,0.3999999999999999,0.019000000000000017,0.103,2.65,2.54,0.78,0.04,0.4,0.25,0.21,1.9,0.55,0.8,0.437,0.4,0.435,0.1,0.222,1.3,0.363,1.2,0.423,0.59,0.2,0.8,1.065,0.522,1.3,0.926,0.318,0.4,1.132,0.463,3.2,1.01,0.507,1.4,1.111,0.426,5.1,0.768,0.304,1.0,1.263,0.667,0.5,1.04,0.452,1.8,1.036,0.5,0.4,24.1,0.3,3.3,0.078
29,Brad Wanamaker,CHA,0.385,0.188,0.3,1.4,2.9,0.7,0.2,1.5,5.5,-2.1,0.251,2.45,0.016,0.08,12.2,0.489,0.166,0.075,G,0.39,1.67,0.045,0.405,1.02,0.019,0.22999999999999998,-0.06900000000000012,0.078,0.17000000000000015,-0.07499999999999996,0.069,0.1399999999999999,-0.013000000000000012,0.057,0.87,1.74,1.52,0.03,0.16,0.16,0.23,1.1,0.515,0.2,0.379,0.1,0.294,0.1,0.318,0.2,0.407,0.2,0.188,0.0,0.0,0.0,0.813,0.4,2.2,0.0,0.0,0.0,0.816,0.417,1.7,0.0,0.0,0.0,0.957,0.472,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.3,5.0,0.099
30,Bradley Beal,WAS,0.485,0.349,1.2,3.5,4.4,1.2,0.4,2.3,31.3,-0.1,0.202,1.42,0.033,0.094,9.3,0.593,0.331,0.145,G,0.303,2.41,0.007,0.422,2.08,0.018,0.41999999999999993,-0.12199999999999994,0.08,0.4800000000000004,-0.03500000000000003,0.094,0.6799999999999997,0.14800000000000002,0.1,2.48,2.8,2.03,0.12,0.28,0.52,0.42,4.6,0.631,1.5,0.466,1.1,0.426,1.5,0.511,1.0,0.38,1.5,0.345,0.942,0.445,2.6,0.967,0.478,9.1,0.0,0.0,0.0,1.165,0.538,4.1,0.905,0.412,0.4,1.109,0.438,2.5,0.993,0.471,2.5,1.366,0.625,1.9,1.089,0.444,4.0,1.208,0.59,0.8,37.8,0.6,8.5,0.117
31,Brandon Clarke,MEM,0.517,0.26,1.6,3.9,1.6,1.0,0.9,1.4,10.3,-0.3,0.094,2.88,0.064,0.16,5.0,0.56,0.167,0.11,F,0.418,2.1,-0.093,0.324,1.29,0.058,0.3599999999999999,-0.16699999999999993,0.101,0.33999999999999986,0.06899999999999995,0.067,0.41999999999999993,0.11199999999999999,0.09,4.8,2.24,1.56,0.03,1.24,0.25,0.31,2.9,0.684,0.6,0.394,0.4,0.406,0.1,0.364,0.3,0.25,0.1,0.263,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.613,1.7,1.25,0.712,1.6,0.0,0.0,0.0,0.812,0.321,2.6,0.929,0.5,0.2,1.237,0.595,1.6,0.875,0.429,0.3,1.114,0.516,1.2,20.3,0.3,2.4,0.079
32,Brandon Goodwin,ATL,0.377,0.311,0.2,1.3,2.0,0.4,0.0,0.9,4.9,-1.3,0.246,2.64,0.012,0.097,9.6,0.471,0.19,0.072,G,0.281,0.93,0.004,0.416,0.93,0.033,0.06999999999999995,-0.3180000000000001,0.064,0.40000000000000013,0.09799999999999998,0.147,0.12,-0.14500000000000002,0.091,0.91,1.09,0.53,0.0,0.13,0.13,0.11,0.6,0.444,0.2,0.435,0.2,0.5,0.1,0.4,0.3,0.393,0.4,0.282,1.19,0.538,0.4,0.773,0.4,1.9,0.0,0.0,0.0,1.063,0.538,1.0,0.0,0.0,0.0,0.892,0.328,1.6,0.231,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.2,3.9,0.089
